,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
33851,194.19,C10H10O4,194.19,COC(=O)COc1cccc(C=O)c1,Key Organics/BIONET,9,,methyl 2-(3-formylphenoxy)acetate,MFCD04227169,858439,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F1E70>,10
33861,194.19,C10H10O4,194.19,COc1ccc(C=O)cc1OC(C)=O,Accela ChemBio (ASD),0,,3-Acetoxy-4-methoxybenzaldehyde,MFCD00266441,1073697,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F3130>,24
33897,194.19,C10H10O4,194.19,COc1cc2OCCOc2cc1C=O,ChemBridge,4027572,,"7-methoxy-2,3-dihydro-1,4-benzodioxine-6-carbaldehyde",MFCD08144775,2723279,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F3A30>,14
33911,194.19,C10H10O4,194.19,CC(Oc1ccc(C=O)cc1)C(O)=O,ChemBridge,6251408,,2-(4-formylphenoxy)propanoic acid,MFCD03850823,4803633,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F3DB0>,17
33934,194.19,C10H10O4,194.19,COC(=O)c1cc(C=O)ccc1OC,Activate Scientific,0,,Methyl 5-Formyl-2-methoxybenzoate,MFCD10565654,11553500,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F63B0>,28
33987,194.19,C10H10O4,194.19,Cc1ccc(OCC(O)=O)c(C=O)c1,Aldlab Chemicals,0,,"Aceticacid,2-(2-formyl-4-methylphenoxy)-,",MFCD18331345,36729097,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F7130>,12
34002,194.19,C10H10O4,194.19,COC(=O)Cc1ccc(O)c(C=O)c1,Aldlab Chemicals,0,,Methyl2-(3-formyl-4-hydroxyphenyl)acetate,MFCD04972464,43608426,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F74F0>,16
34021,194.19,C10H10O4,194.19,COC(=O)c1ccc(C=O)c(OC)c1,"Combi-Blocks, Inc.",0,,Methyl 4-formyl-3-methoxybenzoate,MFCD17169951,44479626,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F79B0>,23
34044,194.19,C10H10O4,194.19,COC(=O)c1ccc(OC)c(C=O)c1,"Combi-Blocks, Inc.",0,,Methyl 3-formyl-4-methoxybenzoate,MFCD09832059,44479707,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23F7F70>,19
34071,194.19,C10H10O4,194.19,COC(=O)c1cc(OC)cc(C=O)c1,"Combi-Blocks, Inc.",0,,methyl 3-formyl-5-methoxybenzoate,MFCD11045770,48606422,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FA670>,17
34092,194.19,C10H10O4,194.19,COC(=O)c1cccc(C=O)c1OC,Key Organics/BIONET,0,,Methyl 3-formyl-2-methoxybenzoate,MFCD24387418,49265502,<rdkit.Chem.rdchem.Mol object at 0x0000020EE23FABB0>,12
